"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 27 14:18:00 UTC 2026","Mon Apr 27 14:18:02 UTC 2026","1616","","BDD - Busca de artigos no blog","","Buscar artigo com assunto inválido","","Buscar artigo com assunto inválido",""
"passed","Mon Apr 27 14:17:58 UTC 2026","Mon Apr 27 14:18:00 UTC 2026","1713","","BDD - Busca de artigos no blog","","Buscar artigo com assunto válido","","Buscar artigo com assunto válido",""
